simultaneously, adverb, General, B1
war, noun, General, A1
ward, noun, General, B1
wardrobe, noun, General, B1
warm, adjective, General, A1
warm, verb, General, B1
warmly, adverb, General, B1
warmth, noun, General, B1
warn, verb, General, B1
warning, noun, General, B1
warranty, noun, General, B1
warrior, noun, General, B1
was, be-verb, General, A1
wash, noun, General, A1
wash, verb, General, A1
washbowl, noun, General, B1
washing machine, noun, technology, A2
washing-up, noun, General, A2
waste, adjective, General, B1
waste, noun, General, B1
waste, verb, General, B1
wasteful, adjective, General, B1
watch, noun, General, A1
watch, verb, General, A1
water, noun, food, A1
waterfall, noun, food, B1
wave, noun, General, A2
wave, verb, General, B1
wax, noun, General, B1
wax, verb, General, B1
way, noun, General, A1
we, pronoun, General, A1
weak, adjective, General, A2
weakness, noun, General, B1
wealth, noun, General, A2
weapon, noun, General, B1
wear, verb, clothes, A1
weather, noun, food, A1
weather forecast, noun, food, B1
web, noun, General, A2
web page, noun, General, A2
webcam, noun, General, B1
website, noun, technology, A2
wedding, noun, General, A2
Wednesday, noun, General, A1
week, noun, General, A1
weekday, noun, General, A2
weekend, noun, General, A1
weekly, adjective, General, A2
weekly, adverb, General, A2
weep, noun, General, A2
weigh, verb, General, A2
weight, noun, General, A2
weird, adjective, General, B1
welcome, adjective, General, B1
welcome, interjection, General, A1
welcome, verb, General, A1
well, adjective, General, A1
well, adverb, General, A1
well-dressed, adjective, clothes, B1
well-known, adjective, General, A2
were, be-verb, General, A1
west, adjective, General, A2
west, adverb, General, A2
west, noun, General, A2
westward, adverb, General, B1
wet, adjective, General, A2
wetland, noun, General, B1
whale, noun, General, B1
what, determiner, clothes, A1
what, pronoun, clothes, A1
whatever, determiner, clothes, A2
whatever, pronoun, clothes, B1
wheel, noun, General, A1
wheelchair, noun, General, A2
when, adverb, General, A1
when, conjunction, General, A1
whenever, adverb, General, B1
whenever, conjunction, General, B1
where, adverb, General, A1
where, conjunction, General, A1
wherever, conjunction, General, B1
whether, conjunction, General, B1
which, determiner, General, A1
which, pronoun, General, A1
whichever, determiner, General, B1
while, conjunction, General, A2
while, noun, General, B1
whisper, noun, General, B1
whistle, noun, General, B1
white, adjective, General, A1
white, noun, General, A1
who, pronoun, General, A1
whoever, pronoun, General, B1
whole, adjective, General, A2
whole, noun, General, B1
whom, pronoun, General, A2
whose, determiner, General, A1
whose, pronoun, General, A1
why, adverb, General, A1
wide, adjective, General, A2
wide, adverb, General, A2
widely, adverb, General, A2
widespread, adjective, General, B1
wife, noun, General, A1
wild, adjective, General, A2
wildlife, noun, General, B1
wildly, adverb, General, B1
will, modal auxiliary, General, A1
willingness, noun, General, B1
win, verb, sports, A1
wind, noun, sports, A1
window, noun, sports, A1
windscreen, noun, sports, B1
windsurfing, noun, sports, B1
windy, adjective, sports, A2
wine, noun, food, A2
wing, noun, sports, B1
winner, noun, sports, A2
winter, noun, sports, A1
wire, noun, General, B1
wisdom, noun, General, A2
wise, adjective, General, A2
wish, noun, General, A1
wish, verb, General, A2
with, preposition, General, A1
wither, verb, General, B1
within, preposition, General, A2
without, preposition, General, A2
witness, verb, General, B1
wizard, adjective, General, B1
woman, noun, General, A1
wonder, noun, General, B1
wonder, verb, General, A2
wonderful, adjective, General, A1
wood, noun, General, A2
wooden, adjective, General, A2
wool, noun, General, A2
word, noun, General, A1
work, noun, General, A1
work, verb, General, A1
worker, noun, work, A1
working, adjective, General, B1
workout, noun, General, B1
workplace, noun, General, B1
workshop, noun, General, B1
world, noun, General, A1
worldwide, adverb, General, A2
worn, adjective, General, B1
worried, adjective, General, A2
worry, noun, General, A1
worry, verb, General, A2
worse, adjective, General, A2
worse, adverb, General, A2
worst, adjective, General, A2
worst, noun, General, B1
worth, adjective, General, B1
worthwhile, adjective, General, B1
worthy, adjective, General, B1
would, modal auxiliary, General, A1
wound, noun, General, B1
wrap, noun, General, B1
wrap, verb, General, B1
wrapping, noun, General, B1
wrist, noun, General, B1
wristwatch, noun, General, B1
write, verb, General, A1
writer, noun, General, A1
writing, noun, General, A2
written, adjective, General, B1
wrong, adjective, General, A1
wrong, adverb, General, A2
yard, noun, General, A1
yeah, adverb, General, A2
year, noun, General, A1
yell, noun, General, B1
yellow, adjective, General, A1
yellow, noun, General, A1
yes, adverb, General, A1
yesterday, adverb, General, A1
yet, adverb, General, A1
yet, conjunction, General, B1
yoga, noun, General, B1
yogurt/yoghurt, noun, General, A1
you, pronoun, General, A1
young, adjective, General, A1
your, determiner, General, A1
yours, pronoun, General, A1
yourself, pronoun, General, A1
youth, noun, General, A2
zone, noun, General, A2
zoo, noun, animals, A1
