cashpoint, noun, General, B1
cassette, noun, General, A2
castle, noun, General, A2
casual, adjective, General, B1
cat, noun, animals, A1
catch, noun, animals, A1
catch, verb, animals, A1
categorize/categorise, verb, animals, B1
category, noun, animals, B1
cattle, noun, animals, B1
cause, verb, General, A2
caution, noun, General, B1
cautious, adjective, General, B1
cave, noun, General, B1
CD, noun, General, A1
CD player, noun, sports, A1
CD-ROM, noun, General, B1
celebrate, verb, General, A1
celebration, noun, General, A1
celebrity, noun, General, B1
cell, noun, General, B1
cent, noun, General, A2
center/centre, noun, General, A2
centimeter/centimetre, noun, General, A2
central, adjective, General, B1
central heating, noun, food, B1
century, noun, General, A2
cereal, noun, General, A2
ceremony, noun, General, B1
certain, adjective, General, A2
certainly, adverb, General, A2
certainty, noun, General, B1
chain, noun, General, A2
chair, noun, General, A1
chairman, noun, General, A2
challenge, noun, General, A2
challenging, adjective, General, B1
champagne, noun, General, A2
champion, noun, General, B1
championship, noun, General, A2
chance, noun, General, A2
change, noun, General, A1
change, verb, General, A1
channel, noun, General, B1
chaos, noun, General, B1
chapter, noun, General, A2
character, noun, General, A1
characteristic, noun, General, B1
characterize/characterise, verb, General, B1
charge, noun, General, B1
charge, verb, General, B1
chariot, noun, General, B1
charity, noun, General, B1
charm, noun, General, B1
chart, noun, General, A2
chase, noun, General, B1
chat, noun, clothes, B1
chat, verb, clothes, A2
chat show, noun, clothes, B1
cheap, adjective, General, A2
check, noun, General, A1
check, verb, General, A2
check-in counter/check-in, noun, General, B1
check-in desk/check-in, noun, General, B1
checkout, noun, General, B1
cheek, noun, General, A2
cheer, verb, General, A2
cheerful, adjective, General, B1
cheese, noun, General, A1
chef, noun, General, A2
chemical, adjective, General, A2
chemical, noun, General, B1
chemist, noun, General, B1
chemistry, noun, General, B1
cheque, noun, General, A2
cherish, verb, General, B1
chess, noun, General, A2
chest, noun, General, A2
chest of drawers, noun, General, B1
chewing gum, noun, sports, B1
chicken, noun, General, A1
chief, adjective, General, B1
child, noun, General, A1
childhood, noun, General, A2
chili/chilli, noun, General, A2
